name,cname,symbol
"MaxLinear, Inc.","MaxLinear, Inc.",MXL
"NetScout Systems, Inc.",网侦系统,NTCT
Stewart Information Services Corp.,Stewart Information Services Corp.,STC
"PROS Holdings, Inc.","PROS Holdings, Inc.",PRO
"Avidity Biosciences, Inc.","Avidity Biosciences, Inc.",RNA
"CoreCivic, Inc.","CoreCivic, Inc.",CXW
"Payoneer Global, Inc.","Payoneer Global, Inc.",PAYO
Mack-Cali Realty Corp.,麦克凯利房地产,CLI
"Inhibrx, Inc.","Inhibrx, Inc.",INBX
Retail Opportunity Investments Corp.,Retail Opportunity Investments Corp.,ROIC
"Grindr, Inc.","Grindr, Inc.",GRND
Federal Agricultural Mortgage Corp.,联邦农业抵押贷款,AGM.A
"NBT Bancorp, Inc.","NBT Bancorp, Inc.",NBTB
"PHINIA, Inc.","PHINIA, Inc.",PHIN
"GCM Grosvenor, Inc.","GCM Grosvenor, Inc.",GCMG
"Sinopec Shanghai Petrochemical Co., Ltd.",上海石油化工股份,SHI
"Amneal Pharmaceuticals, Inc.","Amneal Pharmaceuticals, Inc.",AMRX
"United States Lime & Minerals, Inc.","United States Lime & Minerals, Inc.",USLM
Trustmark Corp.,Trustmark Corp.,TRMK
Grupo Televisa SAB,墨西哥电视,TV
"Frontier Group Holdings, Inc.","Frontier Group Holdings, Inc.",ULCC
"Gabelli Equity Trust, Inc.",加贝利资产信托有限,GAB
VTEX (Cayman Islands),VTEX (Cayman Islands),VTEX
"Oxford Industries, Inc.",牛津工业,OXM
"Structure Therapeutics, Inc.","Structure Therapeutics, Inc.",GPCR
"RPC, Inc.","RPC, Inc.",RES
Ensco Rowan Plc,恩斯克,ESV
Golar LNG Partners LP,Golar LNG Partners LP,GMLPP
"Cohen & Steers Quality Income Realty Fund, Inc.","Cohen & Steers Quality Income Realty Fund, Inc.",RQI
"Royce Value Trust, Inc.","Royce Value Trust, Inc.",RVT
Denison Mines Corp.,Denison Mines Corp.,DNN
Vicor Corp.,Vicor Corp.,VICR
Tri-Continental Corp.,Tri-Continental Corp.,TY
Synergy Resources Corp,Synergy Resources Corp,SYRG
Nuveen California Quality Municipal Income Fund,NAC股息基金,NAC
Star Bulk Carriers Corp.,Star Bulk Carriers Corp.,SBLKZ
"Empire State Realty Trust, Inc.","Empire State Realty Trust, Inc.",ESRT
Banner Corp.,旗帜集团,BANR
Addus HomeCare Corp.,爱德斯,ADUS
"Kayne Anderson Energy Infrastructure Fund, Inc.",KYN投资基金,KYN
"Cannae Holdings, Inc.","Cannae Holdings, Inc.",CNNE
"U.S. Physical Therapy, Inc.","U.S. Physical Therapy, Inc.",USPH
Sigma Lithium Corp.,Sigma Lithium Corp.,SGML
Equinox Gold Corp.,Equinox Gold Corp.,EQX
HollySys Automation Technologies Ltd.,和利时公司,HOLI
"SEMrush Holdings, Inc.","SEMrush Holdings, Inc.",SEMR
"Docebo, Inc.","Docebo, Inc.",DCBO
"CSG Systems International, Inc.",CSG系统国际,CSGS
"Magnite, Inc.","Magnite, Inc.",MGNI
JBG SMITH Properties,JBG SMITH Properties,JBGS
WisdomTree International SmallCap Dividend Fund,WisdomTree International SmallCap Dividend Fund,DLS
"BrightSpring Health Services, Inc.","BrightSpring Health Services, Inc.",BTSG
Global Partners LP,伙伴全球,GLP
Taro Pharmaceutical Industries Ltd.,Taro Pharmaceutical Industries Ltd.,TARO
IAMGOLD Corp.,IAMGOLD Corp.,IAG
"JELD-WEN Holding, Inc.","JELD-WEN Holding, Inc.",JELD
"NV5 Global, Inc.","NV5 Global, Inc.",NVEE
Government Properties Income Trust,Government Properties Income Trust,GOVNI
"Apollo Commercial Real Estate Finance, Inc.",阿波罗商业房地产金融公司,ARI
Vi帽a Concha y Toro SA,智利干露酒庄,VCO
Oaktree Specialty Lending Corp.,Oaktree Specialty Lending Corp.,OCSL
"Greenbrier Cos., Inc.",格林布赖尔,GBX
WisdomTree U.S. MidCap Earnings Fund,WisdomTree U.S. MidCap Earnings Fund,EZM
Smith Douglas Homes Corp.,Smith Douglas Homes Corp.,SDHC
Hamilton Insurance Group Ltd.,Hamilton Insurance Group Ltd.,HG
First Majestic Silver Corp.,First Majestic Silver Corp.,AG
"La-Z-Boy, Inc.",La-Z-Boy家具,LZB
"Edgewise Therapeutics, Inc.","Edgewise Therapeutics, Inc.",EWTX
"Beyond, Inc.","Beyond, Inc.",BYON
"Xenia Hotels & Resorts, Inc.","Xenia Hotels & Resorts, Inc.",XHR
"LiveWire Group, Inc.","LiveWire Group, Inc.",LVWR
"Disc Medicine, Inc.","Disc Medicine, Inc.",IRON
Brookfield Business Partners LP,Brookfield Business Partners LP,BBU
"Uniti Group, Inc.","Uniti Group, Inc.",UNIT
Brookfield Asset Management Reinsurance Partners Ltd.,Brookfield Asset Management Reinsurance Partners Ltd.,BAMR
"DNOW, Inc.","DNOW, Inc.",DNOW
Integral Ad Science Holding Corp.,Integral Ad Science Holding Corp.,IAS
Lufax Holding Ltd.,陆金所控股,LU
"Stagwell, Inc.","Stagwell, Inc.",STGW
Gazit-Globe Ltd.,Gazit-Globe Ltd.,GZT
Washington Real Estate Investment Trust,Washington Real Estate Investment Trust,WRE
Marten Transport Ltd.,马尔登运输,MRTN
Dorian LPG Ltd.,Dorian LPG Ltd.,LPG
"Extreme Networks, Inc.",极速网络,EXTR
City Holding Co.,City Holding Co.,CHCO
First Trust Large Cap Value AlphaDEX Fund,First Trust Large Cap Value AlphaDEX Fund,FTA
"ClearBridge MLP & Midstream Total Return Fund, Inc.","ClearBridge MLP & Midstream Total Return Fund, Inc.",CTR
"Cracker Barrel Old Country Store, Inc.",CB乡村店,CBRL
BlackRock Enhanced Equity Dividend Trust,BlackRock Enhanced Equity Dividend Trust,BDJ
Enovix Corp.,Enovix Corp.,ENVX
"Revolve Group, Inc.",Revolve,RVLV
"flyExclusive, Inc.","flyExclusive, Inc.",FLYX
Ready Capital Corp.,Ready Capital Corp.,RC
American Woodmark Corp.,美国伍德马克公司,AMWD
Eaton Vance Tax-Managed Buy-Write Opportunities Fund,Eaton Vance Tax-Managed Buy-Write Opportunities Fund,ETV
Prothena Corp. Plc,Prothena Corp. Plc,PRTA
World Fuel Services Corp.,全球燃料服务,INT
"JinkoSolar Holding Co., Ltd.",晶科能源,JKS
Kimbell Royalty Partners LP,Kimbell Royalty Partners LP,KRP
"Hawkins, Inc.",霍金斯材料,HWKN
"The GEO Group, Inc.",地缘,GEO
"TTM Technologies, Inc.",TTM科技,TTMI
"Rent-A-Center, Inc.","Rent-A-Center, Inc.",RCII
"Cohu, Inc.",科休半导体,COHU
GDS Holdings Ltd.,万国数据,GDS
BlackRock Municipal 2030 Target Term Trust,BlackRock Municipal 2030 Target Term Trust,BTT
Enterprise Financial Services Corp.,Enterprise Financial Services Corp.,EFSC
"Archer Aviation, Inc.","Archer Aviation, Inc.",ACHR
Sterling Check Corp.,Sterling Check Corp.,STER
"Safehold, Inc.","Safehold, Inc.",SAFE
FLYING EAGLE ACQUISITION CORP,FLYING EAGLE ACQUISITION CORP,FEAC
Knowles Corp.,Knowles Corp.,KN
"Spyre Therapeutics, Inc.","Spyre Therapeutics, Inc.",SYRE
"UFP Technologies, Inc.","UFP Technologies, Inc.",UFPT
Getty Realty Corp.,Getty Realty Corp.,GTY
"First Watch Restaurant Group, Inc.","First Watch Restaurant Group, Inc.",FWRG
Victoria's Secret & Co.,Victoria's Secret & Co.,VSCO
Taboola.com Ltd.,Taboola.com Ltd.,TBLA
"Napco Security Technologies, Inc.","Napco Security Technologies, Inc.",NSSC
"E2open Parent Holdings, Inc.","E2open Parent Holdings, Inc.",ETWO
Blackrock Science & Technology Term Trust,Blackrock Science & Technology Term Trust,BSTZ
"Steelcase, Inc.","Steelcase, Inc.",SCS
"Northwest Bancshares, Inc. (Pennsylvania)","Northwest Bancshares, Inc. (Pennsylvania)",NWBI
"Heartland Financial USA, Inc.",哈特兰金融,HTLF
"Harmonic, Inc.",谐波,HLIT
"Helios Technologies, Inc.","Helios Technologies, Inc.",HLIO
"UTZ Brands, Inc.","UTZ Brands, Inc.",UTZ
National HealthCare Corp.,National HealthCare Corp.,NHC
First Trust Nasdaq-100 Equal Weighted Index Fund,First Trust Nasdaq-100 Equal Weighted Index Fund,QQEW
"AbCellera Biologics, Inc.","AbCellera Biologics, Inc.",ABCL
"The Chefs' Warehouse, Inc.","The Chefs' Warehouse, Inc.",CHEF
Semtech Corp.,先科电子,SMTC
Avadel Pharmaceuticals Plc,Avadel Pharmaceuticals Plc,AVDL
"Bumble, Inc.","Bumble, Inc.",BMBL
"AvePoint, Inc.","AvePoint, Inc.",AVPT
"LeMaitre Vascular, Inc.",勒梅特微管医疗,LMAT
"Leslie's, Inc.","Leslie's, Inc.",LESL
Northwest Natural Holding Co.,西北天然气,NWN
PIMCO Dynamic Income Opportunities Fund,PIMCO Dynamic Income Opportunities Fund,PDO
"Pacira Biosciences, Inc.","Pacira Biosciences, Inc.",PCRX
"Jack in the Box, Inc.","Jack in the Box, Inc.",JACK
"MeridianLink, Inc.",麦迪实软件,MLNK
First Bancorp (North Carolina),第一万能金控,FBNC
AdaptHealth Corp.,AdaptHealth Corp.,AHCO
"Everbridge, Inc.","Everbridge, Inc.",EVBG
"Boulder Growth & Income Fund, Inc.",BIF基金,BIF
"Helix Energy Solutions Group, Inc.",螺旋能源,HLX
Kiniksa Pharmaceuticals Ltd.,Kiniksa Pharmaceuticals Ltd.,KNSA
"Quality Systems, Inc.","Quality Systems, Inc.",QSII
"Soleno Therapeutics, Inc.","Soleno Therapeutics, Inc.",SLNO
Sun Hydraulics Corp.,Sun Hydraulics Corp.,SNHY
"Ingles Markets, Inc.",安格莱斯市场,IMKTA
World Kinect Corp.,World Kinect Corp.,WKC
Banco BBVA Argentina SA,Banco BBVA Argentina SA,BBAR
"Cadre Holdings, Inc.","Cadre Holdings, Inc.",CDRE
"NWTN, Inc.",纽顿集团,NWTN
Realogy Holdings Corp.,Realogy Holdings Corp.,RLGY
"XPEL, Inc.","XPEL, Inc.",XPEL
Horace Mann Educators Corp.,霍勒斯曼恩,HMN
Studio City International Holdings Ltd.,Studio City International Holdings Ltd.,MSC
"4D Molecular Therapeutics, Inc.","4D Molecular Therapeutics, Inc.",FDMT
"Skyward Specialty Insurance Group, Inc.","Skyward Specialty Insurance Group, Inc.",SKWD
Sandstorm Gold Ltd.,Sandstorm Gold Ltd.,SAND
"The Vita Coco Co., Inc.",科林斯学院,COCO
The Bank of N.T. Butterfield & Son Ltd.,The Bank of N.T. Butterfield & Son Ltd.,NTB
"Xencor, Inc.","Xencor, Inc.",XNCR
"Distribution Solutions Group, Inc.","Distribution Solutions Group, Inc.",DSGR
"Warby Parker, Inc.","Warby Parker, Inc.",WRBY
"ADMA Biologics, Inc.","ADMA Biologics, Inc.",ADMA
FinVolution Group,信也科技集团,FINV
Digital World Acquisition Corp.,Digital World Acquisition Corp.,DWAC
"Eve Holding, Inc.","Eve Holding, Inc.",EVEX
"Ironwood Pharmaceuticals, Inc.",Ironwood医药,IRWD
"Veris Residential, Inc.","Veris Residential, Inc.",VRE
"BlackRock Corporate High Yield Fund, Inc.",HYT基金,HYT
"Gyre Therapeutics, Inc.","Gyre Therapeutics, Inc.",GYRE
"ANI Pharmaceuticals, Inc.","ANI Pharmaceuticals, Inc.",ANIP
"Kforce, Inc.",K力,KFRC
Ladder Capital Corp.,Ladder Capital Corp.,LADR
"LTC Properties, Inc.",LTC房产,LTC
"PROG Holdings, Inc.","PROG Holdings, Inc.",PRG
First Commonwealth Financial Corp. (Pennsylvania),第一联邦金融,FCF
Genesis Energy LP,Genesis Energy LP,GEL
Nuveen S&P 500 Buy-Write Income Fund,Nuveen S&P 500 Buy-Write Income Fund,BXMX
"V2X, Inc.","V2X, Inc.",VVX
CTS Corp.,CTS Corp.,CTS
Eaton Vance Tax-Advantaged Global Dividend Income Fund,Eaton Vance Tax-Advantaged Global Dividend Income Fund,ETG
ZIM Integrated Shipping Services Ltd.,ZIM Integrated Shipping Services Ltd.,ZIM
FLEX LNG Ltd.,FLEX LNG Ltd.,FLNG
Danaos Corp.,达那俄斯,DAC
"Guess?, Inc.","Guess?, Inc.",GES
Kenon Holdings Ltd.,Kenon Holdings Ltd.,KEN
"Claros Mortgage Trust, Inc.","Claros Mortgage Trust, Inc.",CMTG
Pep Boys-Manny Moe & Jack,曼尼摩杰汽配,PBY
G-III Apparel Group Ltd.,G-III Apparel Group Ltd.,GIII
Opera Ltd.,欧朋公司,OPRA
"Agiliti, Inc. (Minnesota)","Agiliti, Inc. (Minnesota)",AGTI
Navios Maritime Partners LP,Navios Maritime Partners LP,NMM
"Hope Bancorp, Inc.","Hope Bancorp, Inc.",HOPE
"Monarch Casino & Resort, Inc.","Monarch Casino & Resort, Inc.",MCRI
"Green Plains, Inc.",绿色平原能源,GPRE
"Amplitude, Inc.","Amplitude, Inc.",AMPL
Suburban Propane Partners LP,Suburban Propane Partners LP,SPH
"Hello Group, Inc.",挚文集团,MOMO
First Trust Utilities AlphaDEX Fund,First Trust Utilities AlphaDEX Fund,FXU
"Phreesia, Inc.","Phreesia, Inc.",PHR
"Colony Credit Real Estate, Inc.","Colony Credit Real Estate, Inc.",CLNC
"Stock Yards Bancorp, Inc.","Stock Yards Bancorp, Inc.",SYBT
"Aspen Aerogels, Inc.","Aspen Aerogels, Inc.",ASPN
"Zuora, Inc.","Zuora, Inc.",ZUO
Two Harbors Investment Corp.,Two Harbors Investment Corp.,TWO
"Canadian Solar, Inc.",阿特斯,CSIQ
Liberty Latin America Ltd.,Liberty Latin America Ltd.,LILAK
"Systemax, Inc.","Systemax, Inc.",SYX
"Establishment Labs Holdings, Inc.","Establishment Labs Holdings, Inc.",ESTA
Actuant Corp.,实用动力集团,ATU
"Day One Biopharmaceuticals, Inc.","Day One Biopharmaceuticals, Inc.",DAWN
DoubleLine Income Solutions Fund,DoubleLine Income Solutions Fund,DSL
"Costamare, Inc.","Costamare, Inc.",CMRE
"Hercules Capital, Inc.","Hercules Capital, Inc.",HCXY
"Caleres, Inc.","Caleres, Inc.",CAL
First Trust Mid Cap Core AlphaDEX Fund,First Trust Mid Cap Core AlphaDEX Fund,FNX
"Angi, Inc.",安吉斯里斯特公司,ANGI
"PDF Solutions, Inc.","PDF Solutions, Inc.",PDFS
New Mountain Finance Corp.,New Mountain Finance Corp.,NMFC
Liberty Latin America Ltd.,Liberty Latin America Ltd.,LILA
"Immunome, Inc.","Immunome, Inc.",IMNM
National Bank Holdings Corp.,National Bank Holdings Corp.,NBHC
"Impax Laboratories, Inc.",Impax制药,IPXL
NextDecade Corp.,NextDecade Corp.,NEXT
Definitive Healthcare Corp.,Definitive Healthcare Corp.,DH
Cadeler A/S,Cadeler A/S,CDLR
First Busey Corp.,First Busey Corp.,BUSE
TICC Capital Corp.,TICC Capital Corp.,TICCL
"Marcus & Millichap, Inc.",马库斯米利查普&#8203;,MMI
Tortoise Acquisition Corp.,Tortoise Acquisition Corp.,SHLL
Playa Hotels & Resorts NV,Playa Hotels & Resorts NV,PLYA
"Corsair Gaming, Inc.","Corsair Gaming, Inc.",CRSR
Oxford Square Capital Corp.,Oxford Square Capital Corp.,OXSQL
"Blucora, Inc.","Blucora, Inc.",BCOR
"Couchbase, Inc.","Couchbase, Inc.",BASE
Orion SA,Orion SA,OEC
Kaman Corp.,Kaman Corp.,KAMN
"Omnicell, Inc.","Omnicell, Inc.",OMCL
Allegiant Travel Co.,忠诚旅游公司,ALGT
"Pathward Financial, Inc.",米塔金融,CASH
"Diamond Offshore Drilling, Inc.",钻石海上钻探公司,DO
"WisdomTree, Inc.","WisdomTree, Inc.",WT
"Hawaiian Electric Industries, Inc.",夏威夷电力,HE
AT&#38;T Inc.,AT&#38;T Inc.,TBB
"American Assets Trust, Inc.","American Assets Trust, Inc.",AAT
"Custom Truck One Source, Inc.","Custom Truck One Source, Inc.",CTOS
"Membership Collective Group, Inc.","Membership Collective Group, Inc.",MCG
"indie Semiconductor, Inc.","indie Semiconductor, Inc.",INDI
Tallgrass Energy GP LP,Tallgrass Energy GP LP,TEGP
NetSTREIT Corp.,NetSTREIT Corp.,NTST
FS Investment Corp.,FS Investment Corp.,FSIC
"MediaAlpha, Inc.","MediaAlpha, Inc.",MAX
Lindsay Corp.,Lindsay Corp.,LNN
"Diebold Nixdorf, Inc.",迪堡金融设备,DBD
"Ligand Pharmaceuticals, Inc.","Ligand Pharmaceuticals, Inc.",LGND
Westamerica Bancorporation,Westamerica Bancorporation,WABC
Star Peak Energy Transition Corp.,Star Peak Energy Transition Corp.,STPK
Jaws Acquisition Corp.,Jaws Acquisition Corp.,JWS
Select Comfort Corporation,Select Comfort Corporation,SCSS
Pharvaris NV,Pharvaris NV,PHVS
NuScale Power Corp.,NuScale Power Corp.,SMR
"Fairmount Santrol Holdings, Inc.","Fairmount Santrol Holdings, Inc.",FMSA
1st Source Corp.,1st Source Corp.,SRCE
"Kronos Worldwide, Inc.",康诺斯全球,KRO
Foley Trasimene Acquisition Corp.,Foley Trasimene Acquisition Corp.,WPF
Immatics NV,Immatics NV,IMTX
THOMA BRAVO ADVANTAGE,THOMA BRAVO ADVANTAGE,TBA
Autolus Therapeutics Plc,Autolus Therapeutics Plc,AUTL
"GigaCloud Technology, Inc.",大健云仓科技公司,GCT
"Mirum Pharmaceuticals, Inc.",Mirum Pharmaceuticals,MIRM
"Montrose Environmental Group, Inc.","Montrose Environmental Group, Inc.",MEG
"Apogee Enterprises, Inc.",远地点企业公司,APOG
"Advantage Solutions, Inc. (California)","Advantage Solutions, Inc. (California)",ADV
"Coeur Mining, Inc.",科尔黛伦矿业,CDE
Dorchester Minerals LP,多尔切斯特,DMLP
Blackrock Science & Technology Trust,Blackrock Science & Technology Trust,BST
"Canada Goose Holdings, Inc.",加拿大鹅控股公司,GOOS
"Relay Therapeutics, Inc.","Relay Therapeutics, Inc.",RLAY
WK Kellogg Co.,WK Kellogg Co.,KLG
MannKind Corp.,曼恩凯德生物医疗,MNKD
ProFrac Holding Corp.,ProFrac Holding Corp.,ACDC
OneSpaWorld Holdings Ltd.,OneSpaWorld Holdings Ltd.,OSW
"Tilray Brands, Inc.","Tilray Brands, Inc.",TLRY
"Travere Therapeutics, Inc.","Travere Therapeutics, Inc.",RTRX
Wabash National Corp.,Wabash National Corp.,WNC
PennyMac Mortgage Investment Trust,PennyMac Mortgage Investment Trust,PMT
"Plantronics, Inc.",缤特力,PLT
"NerdWallet, Inc.","NerdWallet, Inc.",NRDS
"Viridian Therapeutics, Inc.","Viridian Therapeutics, Inc.",VRDN
Genius Sports Ltd.,Genius Sports Ltd.,GENI
Universal Corp.,环球烟草,UVV
"Nicolet Bankshares, Inc.","Nicolet Bankshares, Inc.",NIC
"Belite Bio, Inc.","Belite Bio, Inc.",BLTE
Kaiser Aluminum Corp.,凯撒铝业,KALU
"Olaplex Holdings, Inc.","Olaplex Holdings, Inc.",OLPX
"Cargo Therapeutics, Inc.","Cargo Therapeutics, Inc.",CRGX
"ZipRecruiter, Inc.","ZipRecruiter, Inc.",ZIP
"Centerra Gold, Inc.","Centerra Gold, Inc.",CGAU
Partner Communications Co. Ltd.,Partner Communications Co. Ltd.,PTNR
"Camping World Holdings, Inc.","Camping World Holdings, Inc.",CWH
"Lemonade, Inc.","Lemonade, Inc.",LMND
"Sally Beauty Holdings, Inc.",莎莉美容控股公司,SBH
Perella Weinberg Partners,Perella Weinberg Partners,PWP
Columbus McKinnon Corp.,哥伦布-麦金农,CMCO
Reinvent Technology Partners Y,Reinvent Technology Partners Y,RTPY
"ChargePoint Holdings, Inc.","ChargePoint Holdings, Inc.",SBE
"S&T Bancorp, Inc.","S&T Bancorp, Inc.",STBA
Winmark Corp.,威玛克工贸有限公司,WINA
"Verve Therapeutics, Inc.","Verve Therapeutics, Inc.",VERV
"Alexander & Baldwin, Inc.",亚历山大与鲍德温公司,ALEX
"Kyverna Therapeutics, Inc.","Kyverna Therapeutics, Inc.",KYTX
"Easterly Government Properties, Inc.","Easterly Government Properties, Inc.",DEA
"Trupanion, Inc.","Trupanion, Inc.",TRUP
"Altice USA, Inc.","Altice USA, Inc.",ATUS
Elme Communities,Elme Communities,ELME
Natural Resource Partners LP,Natural Resource Partners LP,NRP
"John B. Sanfilippo & Son, Inc.","John B. Sanfilippo & Son, Inc.",JBSS
"Butterfly Network, Inc.","Butterfly Network, Inc.",LGVW
Formula Systems (1985) Ltd.,配方系统,FORTY
Calumet Specialty Products Partners LP,卡路美,CLMT
MTGE Investment Corp.,MTGE Investment Corp.,MTGEP
Oxford Lane Capital Corp.,Oxford Lane Capital Corp.,OXLC
VSE Corp.,VSE技术服务,VSEC
"Adeia, Inc.","Adeia, Inc.",ADEA
"Cars.com, Inc.","Cars.com, Inc.",CARS
Scholastic Corp.,学乐集团,SCHL
PAR Technology Corp.,PAR Technology Corp.,PAR
"Pacific Biosciences of California, Inc.","Pacific Biosciences of California, Inc.",PACB
"MiMedx Group, Inc.","MiMedx Group, Inc.",MDXG
"Virtus AllianzGI Dividend, Interest & Premium Strategy Fund","Virtus AllianzGI Dividend, Interest & Premium Strategy Fund",NFJ
Scholar Rock Holding Corp.,Scholar Rock Holding Corp.,SRRK
"Fresh Del Monte Produce, Inc.",戴尔蒙特新鲜制造,FDP
Orla Mining Ltd.,Orla Mining Ltd.,ORLA
"New York Mortgage Trust, Inc.","New York Mortgage Trust, Inc.",NYMTN
Geron Corp.,杰龙,GERN
"Safety Insurance Group, Inc.","Safety Insurance Group, Inc.",SAFT
Nuveen Municipal High Income Opportunity Fund,Nuveen Municipal High Income Opportunity Fund,NMZ
"Encore Capital Group, Inc.",安可资本,ECPG
Central Puerto SA,Central Puerto SA,CEPU
Nuveen Floating Rate Income Fund,JFR基金,JFR
Nuveen NASDAQ 100 Dynamic Overwrite Fund,Nuveen NASDAQ 100 Dynamic Overwrite Fund,QQQX
TriCo Bancshares,TriCo Bancshares,TCBK
"Soho House & Co., Inc.","Soho House & Co., Inc.",SHCO
Direxion Daily S&P Biotech Bull 3X Shares,Direxion Daily S&P Biotech Bull 3X Shares,LABU
Hive Blockchain Technologies Ltd.,Hive Blockchain Technologies Ltd.,HVBT
"Provident Financial Services, Inc.","Provident Financial Services, Inc.",PFS
Perdoceo Education Corp.,Perdoceo Education Corp.,PRDO
"Seabridge Gold, Inc.","Seabridge Gold, Inc.",SA
"American Finance Trust, Inc.","American Finance Trust, Inc.",AFINP
"Kennedy-Wilson Holdings, Inc.","Kennedy-Wilson Holdings, Inc.",KW
Quanex Building Products Corp.,Quanex Building Products Corp.,NX
"AMC Entertainment Holdings, Inc.",AMC院线公司,AMC
"MFA Financial, Inc.","MFA Financial, Inc.",MFA
TASER International,TASER International,TASR
"New Gold, Inc.","New Gold, Inc.",NGD
"Tarsus Pharmaceuticals, Inc.","Tarsus Pharmaceuticals, Inc.",TARS
"Gogo, Inc.","Gogo, Inc.",GOGO
Silver Standard Resources Inc,Silver Standard Resources Inc,SSRI
"EyePoint Pharmaceuticals, Inc.","EyePoint Pharmaceuticals, Inc.",EYPT
"Falcon鈥檚 Beyond Global, Inc.","Falcon鈥檚 Beyond Global, Inc.",FBYD
Eaton Vance Limited Duration Income Fund,Eaton Vance Limited Duration Income Fund,EVV
"Arcutis Biotherapeutics, Inc.","Arcutis Biotherapeutics, Inc.",ARQT
"Employers Holdings, Inc.",Employers控股,EIG
"UMH Properties, Inc.","UMH Properties, Inc.",UMH
Fidelity National Financial Inc,Fidelity National Financial Inc,FNFV
"HCI Group, Inc.","HCI Group, Inc.",HCI
"Gores Guggenheim, Inc.","Gores Guggenheim, Inc.",GGPI
Apartment Investment & Management Co.,公寓投资管理公司,AIV
Dole Plc,都乐食品,DOLE
"Koppers Holdings, Inc.",科佩斯控股,KOP
Central Securities Corp.,Central Securities Corp.,CET
Mercantil Bank Holding Corp.,Mercantil Bank Holding Corp.,MBNAA
FlexShares iBoxx 3 Year Target Duration TIPS Index Fund,FlexShares iBoxx 3 Year Target Duration TIPS Index Fund,TDTT
"Ameresco, Inc.",阿梅雷斯克公司,AMRC
Navigator Holdings Ltd.,Navigator Holdings Ltd.,NVGS
New Mountain Finance Corp.,New Mountain Finance Corp.,NMFX
"Brookdale Senior Living, Inc.",布鲁克代尔高级护理,BKD
"TaskUs, Inc.","TaskUs, Inc.",TASK
"Mitsubishi UFJ Financial Group, Inc.",三菱日联金融集团,MTU
"Alexander's, Inc.",亚历山大公司,ALX
"BioCryst Pharmaceuticals, Inc.",BioCryst制药,BCRX
"Tango Therapeutics, Inc.","Tango Therapeutics, Inc.",TNGX
"ChipMOS Technologies, Inc.",百慕达南茂科技股份有限公司,IMOS
"A10 Networks, Inc.","A10 Networks, Inc.",ATEN
Chimera Investment Corp.,奇美拉投资,CIM
Piper Jaffray Cos.,派杰,PJC
Sanofi,Sanofi,GCVRZ
Adecoagro SA,Adecoagro SA,AGRO
"Digi International, Inc.",美国迪进国际,DGII
"Peregrine Pharmaceuticals, Inc.","Peregrine Pharmaceuticals, Inc.",PPHMP
"Tevogen Bio Holdings, Inc.","Tevogen Bio Holdings, Inc.",TVGN
MOTION ACQUISITION CORP,MOTION ACQUISITION CORP,MOTN
"ScanSource, Inc.","ScanSource, Inc.",SCSC
"Ecovyst, Inc.","Ecovyst, Inc.",ECVT
Jin Medical International Ltd.,中进医疗器材国际有限公司,ZJYL
"Benchmark Electronics, Inc.","Benchmark Electronics, Inc.",BHE
"Triumph Group, Inc.","Triumph Group, Inc.",TGI
First Trust Intermediate Duration Preferred & Income Fund,First Trust Intermediate Duration Preferred & Income Fund,FPF
FlexShares Morningstar Developed Markets ex-US Factor Tilt,FlexShares Morningstar Developed Markets ex-US Factor Tilt,TLTD
TRML,TRML,TRML
"BlackRock MuniHoldings California Quality Fund, Inc.",黑岩加州投资基金,MUC
"Arlo Technologies, Inc.","Arlo Technologies, Inc.",ARLO
"HUYA, Inc.",虎牙公司,HUYA
Service Properties Trust,Service Properties Trust,SVC
Century Aluminum Co.,世纪铝业,CENX
"Tuya, Inc.",涂鸦智能,TUYA
"Franklin BSP Realty Trust, Inc.","Franklin BSP Realty Trust, Inc.",FBRT
"Ivanhoe Electric, Inc.","Ivanhoe Electric, Inc.",IE
Perion Network Ltd.,Perion Network Ltd.,PERI
"General American Investors Co., Inc.",GAM基金,GAM
Blue Bird Corp.,Blue Bird Corp.,BLBD
"MacroGenics, Inc.","MacroGenics, Inc.",MGNX
Capital Southwest Corp,Capital Southwest Corp,CSWC
Ryerson Holding Corp.,Ryerson Holding Corp.,RYI
WisdomTree SmallCap Earnings Fund,WisdomTree SmallCap Earnings Fund,EES
"The Duckhorn Portfolio, Inc.","The Duckhorn Portfolio, Inc.",NAPA
Vanguard Russell 2000 Growth Index Fund,Vanguard Russell 2000 Growth Index Fund,VTWG
Banco Latinoamericano de Comercio Exterior SA,拉丁美洲出口银行,BLX
Mercantil Bank Holding Corp.,Mercantil Bank Holding Corp.,MBNAB
FTAC OLYMPUS ACQUISITION CORP,FTAC OLYMPUS ACQUISITION CORP,FTOC
Infinera Corp.,英飞朗,INFN
"Nicolet Bankshares, Inc.","Nicolet Bankshares, Inc.",NCBS
"Fortuna Silver Mines, Inc.","Fortuna Silver Mines, Inc.",FSM
Eaton Vance Enhanced Equity Income Fund II,Eaton Vance Enhanced Equity Income Fund II,EOS
"TDCX, Inc.","TDCX, Inc.",TDCX
SPARTACUS ACQUISITION CORP,SPARTACUS ACQUISITION CORP,TMTS
Cohn Robbins Holdings Corp.,Cohn Robbins Holdings Corp.,CRHC
BlackRock Taxable Municipal Bond Trust,BlackRock Taxable Municipal Bond Trust,BBN
"Kura Sushi USA, Inc.",库拉寿司,KRUS
Liquidia Corp.,Liquidia Corp.,LQDA
